iter	Passed	Remaining
332	2671988	5352000
333	2684078	5352085
334	2696311	5352379
335	2708808	5353121
336	2721100	5353382
337	2733165	5353123
338	2745692	5353696
339	2758176	5354106
340	2769874	5352924
341	2782920	5354273
342	2795362	5354382
343	2807104	5353083
344	2819320	5352623
345	2831797	5352588
346	2844026	5352015
347	2855457	5349880
348	2867608	5349034
349	2879837	5348268
350	2892346	5347956
351	2904864	5347590
352	2917856	5348026
353	2930143	5347097
354	2942922	5347000
355	2955460	5346395
356	2967720	5345221
357	2980031	5344078
358	2992029	5342315
359	3004522	5341372
360	3016510	5339474
361	3029052	5338496
362	3031196	5319206
363	3043740	5318183
364	3055240	5315281
365	3067030	5312834
366	3079578	5311644
367	3091625	5309530
368	3102936	5306105
369	3115300	5304430
370	3128196	5303600
371	3140131	5301081
372	3152775	5299706
373	3164901	5297402
374	3177155	5295259
375	3189853	5293799
376	3202140	5291600
377	3214487	5289447
378	3226850	5287267
379	3238641	5284099
380	3250889	5281628
381	3263250	5279289
382	3275619	5276911
383	3287791	5274164
384	3299623	5270826
385	3311579	5267642
386	3323675	5264633
387	3336158	5262188
388	3347768	5258319
389	3360056	5255472
390	3372389	5252648
391	3384861	5249989
392	3397329	5247274
393	3409406	5243909
394	3421719	5240861
395	3433845	5237481
396	3445096	5232727
397	3446183	5212569
398	3458862	5209965
399	3470550	5205825
400	3482970	5202741
401	3495052	5199107
402	3507011	5195250
403	3518892	5191238
404	3531944	5188906
405	3534921	5171781
406	3547186	5168258
407	3559850	5165273
408	3572695	5162501
409	3585089	5159031
410	3597376	5155364
411	3610311	5152580
412	3622459	5148628
413	3634343	5144263
414	3646853	5140745
415	3660184	5138335
416	3672441	5134372
417	3684626	5130269
418	3697045	5126451
419	3709397	5122501
420	3721922	5118749
421	3733980	5114314
422	3745894	5109648
423	3758044	5105267
424	3770454	5101203
425	3782815	5097033
426	3795255	5092930
427	3801335	5080288
428	3813751	5076112
429	3826739	5072655
430	3838471	5067494
431	3850955	5063293
432	3863877	5059626
433	3875810	5054628
434	3888443	5050507
435	3900637	5045778
436	3913648	5042068
437	3926099	5037597
438	3938319	5032795
439	3950037	5027321
440	3961680	5021721
441	3974143	5017130
442	3975000	4997912
443	3987663	4993560
444	3999897	4988635
445	4012369	4983974
446	4024449	4978793
447	4037100	4974284
448	4049300	4969186
449	4061405	4963940
450	4073691	4958883
451	4087052	4955099
452	4098753	4949267
453	4110851	4943886
454	4123282	4938876
455	4135333	4933380
456	4147910	4928480
457	4159984	4922951
458	4172099	4917441
459	4184772	4912559
460	4197063	4907195
461	4209922	4902463
462	4222973	4897919
463	4235876	4893167
464	4248106	4887606
465	4260986	4882761
466	4273395	4877344
467	4285768	4871856
468	4297852	4866012
469	4309696	4859870
470	4321381	4853526
471	4332905	4846978
472	4345168	4841234
473	4357076	4835068
474	4369368	4829301
475	4382748	4824706
476	4395870	4819791
477	4407475	4813185
478	4419641	4807167
479	4432137	4801482
480	4445133	4796307
481	4457429	4790349
482	4470189	4784861
483	4482493	4778856
484	4493951	4771928
485	4506215	4765832
486	4518448	4759680
487	4530479	4753290
488	4542896	4747279
489	4556066	4742028
490	4568935	4736432
491	4581655	4730652
492	4594034	4724493
493	4605816	4717698
494	4618095	4711389
495	4631137	4705833
496	4643757	4699818
497	4655835	4693232
498	4668320	4687030
499	4679986	4679986
500	4691866	4673136
501	4704484	4666998
502	4716559	4660298
503	4728657	4653599
504	4740341	4646473
505	4752493	4639785
506	4764042	4632491
507	4775617	4625204
508	4787672	4618363
509	4800139	4611899
510	4812148	4604972
511	4824606	4598452
512	4836680	4591546
513	4848874	4584733
514	4861156	4577982
515	4873447	4571218
516	4885758	4564451
517	4898430	4557999
518	4911040	4551464
519	4922814	4544136
520	4935603	4537724
521	4947852	4530792
522	4960222	4523950
523	4972776	4517254
524	4985511	4510700
525	4997378	4503341
526	5009667	4496343
527	5022172	4489517
528	5035115	4483061
529	5046688	4475365
530	5047671	4458301
531	5060174	4451431
532	5072582	4444458
533	5084976	4437451
534	5097241	4430313
535	5102986	4417511
536	5115480	4410554
537	5127229	4402936
538	5139296	4395576
539	5151266	4388115
540	5163736	4381062
541	5175633	4373505
542	5187726	4366097
543	5200192	4358984
544	5212271	4351529
545	5223986	4343754
546	5236522	4336644
547	5249013	4329478
548	5260325	4321323
549	5273263	4314488
550	5285599	4307139
551	5297902	4299746
552	5310543	4292608
553	5322590	4284973
554	5334843	4277487
555	5346473	4269485
556	5358858	4262072
557	5371034	4254475
558	5383207	4246859
559	5394834	4238798
560	5409908	4233421
561	5410192	4216484
562	5422869	4209225
563	5434642	4201248
564	5448214	4194643
565	5460478	4187010
566	5473137	4179662
567	5485346	4171953
568	5497762	4164386
569	5510265	4156866
570	5522072	4148807
571	5533958	4140793
572	5545899	4132808
573	5557691	4124698
574	5569694	4116731
575	5581945	4108932
576	5594439	4101295
577	5606725	4093491
578	5619377	4085937
579	5630968	4077597
580	5642441	4069161
581	5654869	4061400
582	5666676	4053180
583	5679037	4045341
584	5690976	4037188
585	5703885	4029707
586	5716010	4021656
587	5728630	4013938
588	5740621	4005764
589	5753009	3997854
590	5764806	3989518
591	5776421	3981047
592	5788849	3973122
593	5801772	3965521
594	5814243	3957594
595	5826563	3949549
596	5838552	3941267
597	5851237	3933440
598	5864089	3925709
599	5876759	3917839
600	5889142	3909763
601	5901473	3901638
602	5913360	3893207
603	5925448	3884896
604	5937700	3876680
605	5949136	3867920
606	5960851	3859332
607	5971965	3850346
608	5984034	3841966
609	5996851	3834052
610	6009247	3825855
611	6010880	3810819
612	6022920	3802398
613	6035052	3794022
614	6046479	3785194
615	6059127	3777118
616	6071098	3768607
617	6077805	3756831
618	6090103	3748513
619	6102582	3740292
620	6114775	3731884
621	6126599	3723239
622	6138607	3714695
623	6150411	3706017
624	6162102	3697261
625	6174182	3688728
626	6186570	3680367
627	6198593	3671778
628	6211027	3663420
629	6223183	3654885
630	6235388	3646368
631	6247219	3637621
632	6259455	3629099
633	6271872	3620670
634	6283991	3612057
635	6286757	3598081
636	6299041	3589563
637	6310613	3580630
638	6323212	3572268
639	6335845	3563913
640	6348176	3555375
641	6360457	3546797
642	6372461	3538053
643	6384727	3529445
644	6396720	3520675
645	6409201	3512163
646	6412171	3498449
647	6424341	3489765
648	6436376	3480998
649	6439902	3467640
650	6451747	3458771
651	6451956	3443682
652	6463675	3434755
653	6476013	3426147
654	6487944	3417314
655	6500228	3408656
656	6512516	3399989
657	6524884	3391353
658	6526970	3377385
659	6539616	3368893
660	6551404	3359948
661	6563242	3351021
662	6575303	3342198
663	6587393	3333379
664	6599524	3324572
665	6612018	3315937
666	6624578	3307323
667	6636927	3298592
668	6649657	3290039
669	6662034	3281300
670	6674543	3272615
671	6686690	3263741
672	6690513	3250814
673	6702020	3241630
674	6714210	3232768
675	6725694	3223557
676	6726716	3209349
677	6738385	3200236
678	6750400	3191279
679	6762886	3182534
680	6774747	3173486
681	6780282	3161480
682	6792926	3152793
683	6805160	3143904
684	6817307	3134966
685	6829320	3125957
686	6841211	3116884
687	6854027	3108221
688	6866467	3099378
689	6878949	3090542
690	6891903	3081907
691	6903862	3072817
692	6914782	3063258
693	6926856	3054204
694	6938515	3044960
695	6950447	3035827
696	6962446	3026716
697	6975102	3017881
698	6987646	3008986
699	7000421	3000180
700	7012651	2991131
701	7025336	2982265
702	7037407	2973129
703	7044258	2961790
704	7056488	2952714
705	7067525	2943133
706	7080039	2934160
707	7092215	2925038
708	7104610	2915996
709	7116767	2906848
710	7129206	2897806
711	7141018	2888501
712	7152620	2879105
713	7153989	2865603
714	7166535	2856590
715	7178710	2847421
716	7190677	2838161
717	7202407	2828800
718	7213864	2819326
719	7225844	2810050
720	7237947	2800814
721	7250256	2791650
722	7262001	2782260
723	7274164	2773024
724	7286590	2763878
725	7298725	2754615
726	7299454	2741060
727	7311537	2731783
728	7323892	2722599
729	7335386	2713088
730	7347139	2703667
731	7360044	2694661
732	7372417	2685450
733	7384458	2676111
734	7396581	2666794
735	7408392	2657358
736	7420711	2648096
737	7433709	2639067
738	7436134	2626293
739	7447676	2616751
740	7459385	2607261
741	7472922	2598401
742	7485666	2589254
743	7497941	2579936
744	7498769	2566692
745	7510837	2557309
746	7523097	2547983
747	7535621	2538738
748	7548087	2529466
749	7560429	2520143
750	7572781	2510815
751	7585053	2501453
752	7597146	2492025
753	7609736	2482752
754	7622252	2473446
755	7634770	2464132
756	7646718	2454626
757	7647835	2441657
758	7660339	2432334
759	7672408	2422865
760	7673416	2409916
761	7685208	2400367
762	7697587	2390993
763	7710028	2381631
764	7722087	2372144
765	7733829	2362553
766	7746089	2353114
767	7757768	2343492
768	7770306	2334123
769	7782557	2324660
770	7794692	2315155
771	7807079	2305717
772	7819985	2296425
773	7832107	2286894
774	7844430	2277415
775	7857134	2268038
776	7869285	2258494
777	7881480	2248957
778	7885586	2237117
779	7896892	2227328
780	7909757	2217973
781	7922121	2208468
782	7934482	2198956
783	7934600	2186063
784	7946864	2176529
785	7958403	2166791
786	7970314	2157149
787	7982444	2147561
788	7994809	2138028
789	8007081	2128464
790	8019577	2118952
791	8021231	2106585
792	8033590	2097040
793	8044946	2087227
794	8056757	2077528
795	8069199	2067985
796	8081611	2058427
797	8094094	2048881
798	8106150	2039219
799	8118637	2029659
800	8121631	2017733
801	8133021	2007903
802	8145115	1998241
803	8157394	1988618
804	8169746	1979006
805	8182139	1969398
806	8194287	1959724
807	8206203	1949988
808	8218305	1940292
809	8230982	1930724
810	8243315	1921068
811	8255541	1911381
812	8270657	1902352
813	8282384	1892534
814	8295755	1883085
815	8307630	1873289
816	8319588	1863506
817	8332239	1853872
818	8344412	1844125
819	8356933	1834448
820	8368773	1824616
821	8381256	1814919
822	8394032	1805277
823	8406372	1795535
824	8418261	1785691
825	8430858	1775992
826	8442731	1766133
827	8454639	1756277
828	8466732	1746455
829	8479292	1736722
830	8479486	1724468
831	8491265	1714582
832	8503534	1704790
833	8515561	1694943
834	8528380	1685248
835	8540326	1675375
836	8552657	1665571
837	8564896	1655743
838	8577551	1645990
839	8588986	1635997
840	8601609	1626225
841	8614437	1616485
842	8626535	1606602
843	8638537	1596696
844	8651035	1586876
845	8662852	1576925
846	8674885	1567010
847	8686843	1557075
848	8698655	1547110
849	8709550	1536979
850	8721757	1527076
851	8734292	1517224
852	8747111	1507415
853	8759460	1497519
854	8771827	1487619
855	8784581	1477780
856	8796863	1467854
857	8809161	1457926
858	8821499	1447999
859	8834070	1438104
860	8846462	1428174
861	8859652	1418366
862	8872268	1408459
863	8884335	1398460
864	8896144	1388415
865	8908684	1378480
866	8915924	1367725
867	8918229	1356228
868	8930415	1346242
869	8942199	1336190
870	8953983	1326135
871	8965910	1316096
872	8966121	1304349
873	8978419	1294371
874	8979702	1282814
875	8991857	1272820
876	9004199	1262846
877	9016136	1252811
878	9028127	1242779
879	9040288	1232766
880	9052299	1222728
881	9064281	1212681
882	9076106	1202609
883	9088138	1192561
884	9100215	1182513
885	9112837	1172532
886	9124438	1162414
887	9136604	1152364
888	9148501	1142276
889	9152414	1131197
890	9163670	1121032
891	9176162	1111015
892	9188200	1100937
893	9200151	1090845
894	9212325	1080775
895	9224144	1070659
896	9236545	1060606
897	9248492	1050496
898	9260859	1040430
899	9273025	1030336
900	9285094	1020226
901	9286227	1008924
902	9298680	998861
903	9310899	988768
904	9323076	978665
905	9334825	968513
906	9347360	958439
907	9359597	948329
908	9371824	938213
909	9384435	928130
910	9396597	917999
911	9408653	907852
912	9421093	897738
913	9433222	887589
914	9445726	877471
915	9458272	867352
916	9470417	857191
917	9473664	846231
918	9486541	836136
919	9498444	825951
920	9510770	815798
921	9523375	805665
922	9535233	795463
923	9547645	785304
924	9560201	775151
925	9572263	764954
926	9584191	754742
927	9596707	744572
928	9608999	734379
929	9621388	724190
930	9633803	713998
931	9645960	703782
932	9658246	693571
933	9670104	683326
934	9682490	673114
935	9694338	662860
936	9706717	652639
937	9719198	642420
938	9731567	632189
939	9743585	621930
940	9755828	611683
941	9767856	601417
