iter	RMSE
0	46107.81001
1	38987.36611
2	33215.88274
3	28642.25767
4	25097.4247
5	22019.23829
6	19394.64918
7	17293.13317
8	15795.65024
9	14457.26391
10	13284.11203
11	12416.70777
12	11688.11477
13	11081.89791
14	10551.86487
15	10076.17654
16	9651.3657
17	9242.295297
18	8886.379886
19	8555.082933
20	8292.925777
21	8000.281037
22	7840.938412
23	7702.174848
24	7566.592198
25	7398.913337
26	7261.502223
27	7049.603814
28	6905.790017
29	6790.84051
30	6668.384616
31	6539.401325
32	6422.628515
33	6356.023087
34	6224.822431
35	6110.047261
36	6060.288344
37	5930.061976
38	5816.654626
39	5676.109495
40	5532.310202
41	5423.047986
42	5315.085919
43	5205.337006
44	5097.931608
45	5053.990271
46	4960.691847
47	4859.056255
48	4821.409583
49	4743.706439
50	4654.673216
51	4634.156064
52	4545.906789
53	4470.856801
54	4368.64417
55	4269.354077
56	4208.120934
57	4172.697571
58	4095.868255
59	4033.087395
60	3969.176508
61	3904.081949
62	3880.621
63	3827.819383
64	3817.922541
65	3753.014683
66	3694.77149
67	3665.198617
68	3594.846218
69	3543.828756
70	3497.269833
71	3433.325953
72	3382.337999
73	3348.757633
74	3291.455609
75	3261.531639
76	3208.285532
77	3176.374256
78	3168.724835
79	3130.5883
80	3111.294913
81	3060.637529
82	3042.458537
83	2978.319948
84	2967.58418
85	2913.82559
86	2868.017472
87	2851.639463
88	2829.562262
89	2800.363144
90	2796.756718
91	2744.322777
92	2708.080147
93	2659.30596
94	2622.524123
95	2599.011334
96	2579.089536
97	2537.649001
98	2509.789867
99	2492.691835
100	2453.468463
101	2420.662117
102	2376.594041
103	2334.178524
104	2312.316462
105	2284.921737
106	2247.307782
107	2238.49094
108	2201.00875
109	2175.89361
110	2161.676532
111	2135.812889
112	2127.178552
113	2096.27794
114	2063.33337
115	2055.352501
116	2032.128686
117	1996.694082
118	1962.839117
119	1941.902049
120	1929.274046
121	1905.387452
122	1880.91483
123	1857.239349
124	1843.336135
125	1820.16495
126	1799.536496
127	1793.285941
128	1780.413101
129	1764.661684
130	1748.436339
131	1722.723787
132	1715.091539
133	1688.222169
134	1667.019486
135	1661.073501
136	1632.717092
137	1614.810049
138	1592.922258
139	1570.004191
140	1553.147128
141	1536.57269
142	1526.085201
143	1504.912662
144	1489.649967
145	1481.21577
146	1462.095547
147	1443.624425
148	1429.708667
149	1415.095102
150	1396.711461
151	1383.004446
152	1382.248
153	1364.69335
154	1346.785733
155	1329.024429
156	1312.512115
157	1303.297471
158	1289.922113
159	1274.783255
160	1265.135017
161	1250.169219
162	1248.900071
163	1231.64675
164	1223.773539
165	1206.537307
166	1190.166705
167	1171.555052
168	1160.256191
169	1151.003703
170	1135.348626
171	1125.075958
172	1110.630352
173	1097.635345
174	1081.613101
175	1072.578619
176	1071.814412
177	1070.87901
178	1064.313029
179	1057.687855
180	1047.952799
181	1041.841479
182	1024.395252
183	1012.115341
184	1005.793743
185	996.0523368
186	984.143603
187	974.164547
188	967.5960412
189	955.664801
190	944.8885541
191	935.8157274
192	926.418926
193	921.6108208
194	912.1366859
195	905.0725108
196	899.8317508
197	893.2753013
198	880.9004812
199	872.9656441
200	865.6721996
201	858.8273952
202	849.5942342
203	835.2850181
204	828.3339931
205	819.6346155
206	816.0048428
207	806.9258057
208	802.3426766
209	792.3075073
210	787.3725793
211	776.1380054
212	768.4021667
213	764.9601203
214	754.3641333
215	749.2190879
216	742.7897622
217	740.4215
218	733.886823
219	728.7839534
220	723.5388431
221	722.8023079
222	715.257393
223	706.1777829
224	699.316343
225	692.8084637
226	689.2210025
227	685.5368237
228	678.3708364
229	670.3605959
230	664.6612382
231	661.0958011
232	654.4686607
233	646.1219505
234	640.4137073
235	632.4849405
236	627.6396899
237	621.9745003
238	615.8852776
239	612.6743207
240	609.6735268
241	603.5951302
242	598.5423064
243	592.9906458
244	587.9437215
245	582.0563083
246	576.7736335
247	573.4792289
248	569.2591976
249	564.2172067
250	559.9784481
251	557.5523523
252	553.0709864
253	549.3649718
254	542.443551
255	538.9409041
256	531.2925649
257	527.5751972
258	522.6053907
259	520.1663189
260	519.7556935
261	514.5179903
262	509.3585141
263	507.3773325
264	505.8547096
265	504.3883236
266	502.885402
267	500.8279773
268	494.3042258
269	491.2390114
270	485.8871016
271	477.4192265
272	473.1751034
273	465.8930639
274	464.5885671
275	461.3965698
276	460.1908222
277	459.4172834
278	453.1030657
279	447.6468052
280	445.2974707
281	438.6733823
282	435.0268468
283	428.3427166
284	426.5884517
285	425.8190771
286	421.8177727
287	419.8646417
288	416.3483725
289	414.4049169
290	413.8135914
291	408.9254841
292	407.556558
293	404.3195536
294	400.327795
295	396.005137
296	394.7854827
297	389.9741987
298	385.5816444
299	383.2668546
300	379.5065177
301	375.2155514
302	373.1226883
303	373.0004536
304	370.283855
305	368.6352126
306	365.9813837
307	362.1127041
308	359.3418905
309	355.8515019
310	351.2729353
311	349.065762
312	345.6046198
313	343.9519586
314	340.6916194
315	338.6797966
316	337.7540447
317	332.6634352
318	330.7830958
319	327.4328797
320	325.9507569
321	324.8528409
322	321.6014843
323	317.2690246
324	315.5851788
325	311.601054
326	309.5460997
327	308.5939251
328	304.7998929
329	302.4862763
330	301.7502868
331	299.1894198
332	296.949891
