iter	Passed	Remaining
331	2778875	5591231
332	2791478	5591339
333	2803792	5590795
334	2815925	5589823
335	2828626	5589903
336	2841197	5589656
337	2853761	5589318
338	2866042	5588359
339	2878758	5588178
340	2890458	5585959
341	2903148	5585589
342	2916177	5585797
343	2928876	5585299
344	2941102	5583832
345	2953835	5583261
346	2966317	5582147
347	2978571	5580541
348	2990585	5578426
349	3003110	5577206
350	3015261	5575226
351	3027988	5574251
352	3040974	5573684
353	3053694	5572561
354	3066067	5570742
355	3078314	5568635
356	3090728	5566774
357	3102974	5564552
358	3115596	5562945
359	3128464	5561715
360	3140969	5559777
361	3153385	5557624
362	3157446	5540753
363	3168834	5536754
364	3180715	5533572
365	3193218	5531421
366	3205376	5528620
367	3218166	5526850
368	3230551	5524330
369	3243012	5521886
370	3255695	5519764
371	3268055	5517039
372	3280262	5514007
373	3293098	5511977
374	3294335	5490558
375	3306944	5488120
376	3318819	5484414
377	3331858	5482581
378	3344704	5480373
379	3357052	5477296
380	3368900	5473357
381	3381059	5469881
382	3393237	5466389
383	3405472	5462945
384	3418069	5460033
385	3430639	5457026
386	3443019	5453671
387	3455049	5449717
388	3467761	5446792
389	3479975	5443038
390	3492242	5439324
391	3504479	5435518
392	3516786	5431779
393	3528993	5427843
394	3541983	5425063
395	3554827	5422010
396	3567385	5418472
397	3579226	5413804
398	3591346	5409522
399	3603786	5405679
400	3616220	5401785
401	3628533	5397669
402	3641019	5393767
403	3653290	5389507
404	3665246	5384745
405	3677481	5380355
406	3689673	5375863
407	3702051	5371604
408	3714005	5366692
409	3727220	5363560
410	3739617	5359207
411	3752410	5355382
412	3764654	5350731
413	3777118	5346356
414	3788944	5341042
415	3793644	5325693
416	3805982	5321073
417	3818851	5317157
418	3830943	5312119
419	3843340	5307469
420	3855711	5302747
421	3867554	5297265
422	3869287	5277963
423	3881874	5273489
424	3894386	5268875
425	3906894	5264219
426	3919382	5259499
427	3931847	5254712
428	3943899	5249339
429	3956464	5244616
430	3968441	5239079
431	3980496	5233615
432	3992550	5228120
433	4004810	5222863
434	4017057	5217557
435	4029379	5212316
436	4041712	5207057
437	4054257	5202038
438	4066476	5196568
439	4078855	5191270
440	4091830	5186696
441	4104646	5181883
442	4117256	5176776
443	4130607	5172562
444	4143416	5167632
445	4155938	5162309
446	4167667	5155973
447	4173502	5142351
448	4185471	5136290
449	4197663	5130477
450	4209889	5124677
451	4222423	5119221
452	4234347	5112998
453	4246029	5106458
454	4258508	5100851
455	4271416	5095724
456	4283878	5090035
457	4295643	5083491
458	4307756	5077333
459	4320053	5071367
460	4332530	5065583
461	4345182	5059974
462	4358200	5054759
463	4370403	5048569
464	4382969	5042770
465	4395057	5036396
466	4406907	5029725
467	4419389	5023750
468	4431910	5017791
469	4444510	5011894
470	4456755	5005569
471	4469383	4999649
472	4481509	4993140
473	4493524	4986485
474	4493849	4966886
475	4506971	4961455
476	4519073	4954875
477	4531774	4948925
478	4544211	4942660
479	4556334	4936029
480	4568532	4929455
481	4571073	4912481
482	4583369	4906007
483	4595858	4899717
484	4608174	4893216
485	4608260	4873756
486	4621355	4868080
487	4633196	4861058
488	4645945	4854965
489	4657947	4848068
490	4669769	4840962
491	4682148	4834413
492	4694532	4827845
493	4706950	4821289
494	4718938	4814270
495	4731322	4807634
496	4743735	4801003
497	4755938	4794138
498	4768357	4787469
499	4780299	4780299
500	4792849	4773716
501	4805275	4766986
502	4817555	4760090
503	4829943	4753277
504	4843182	4747277
505	4855972	4740810
506	4868414	4733981
507	4881024	4727291
508	4893330	4720285
