iter	Passed	Remaining
327	3918577	8028304
328	3918907	7992664
329	3930852	7980822
330	3931080	7945296
331	3943108	7933723
332	3956716	7925315
333	3956949	7890203
334	3969650	7880051
335	3981996	7869184
336	3994513	7858642
337	4006718	7847478
338	4006887	7812839
339	4019548	7802652
340	4032402	7792825
341	4045405	7783265
342	4057503	7771951
343	4057575	7737701
344	4070258	7727591
345	4082728	7717065
346	4094667	7705526
347	4107976	7696554
348	4121456	7687874
349	4134191	7677783
350	4146796	7667438
351	4158906	7656168
352	4171500	7645781
353	4182934	7633263
354	4195724	7623217
355	4208291	7612752
356	4220419	7601484
357	4233718	7592310
358	4246232	7581714
359	4258829	7571252
360	4271377	7560693
361	4283750	7549814
362	4296180	7539026
363	4308533	7528097
364	4320983	7517328
365	4333373	7506444
366	4345883	7495760
367	4358938	7486003
368	4371501	7475386
369	4384033	7464705
370	4396419	7453767
371	4409285	7443632
372	4421921	7433095
373	4433926	7421491
374	4446687	7411146
375	4458479	7399179
376	4470831	7388138
377	4484172	7378718
378	4497435	7369148
379	4510802	7359729
380	4523318	7348908
381	4535894	7338175
382	4547416	7325733
383	4560723	7316160
384	4573275	7305362
385	4584882	7293052
386	4584919	7262418
387	4597103	7251101
388	4609834	7240640
389	4622427	7229950
390	4635096	7219370
391	4648040	7209205
392	4660242	7197881
393	4673036	7187462
394	4685406	7176382
395	4697640	7165088
396	4710056	7154065
397	4722744	7143448
398	4735637	7133128
399	4748089	7122134
400	4761001	7111819
401	4772871	7099943
402	4786117	7090103
403	4786184	7060806
404	4798472	7049607
405	4810081	7037409
406	4822022	7025698
407	4835154	7015714
408	4848106	7005454
409	4860539	6994435
410	4871845	6981793
411	4884966	6971748
412	4897407	6960722
413	4909245	6948835
414	4921838	6938013
415	4934265	6926950
416	4947148	6916517
417	4959613	6905491
418	4972144	6894549
419	4984791	6883759
420	4997481	6873020
421	5009379	6861188
422	5021959	6850285
423	5034455	6839260
424	5047191	6828553
425	5059795	6817658
426	5073191	6807818
427	5085206	6796116
428	5097662	6785000
429	5109785	6773436
430	5123085	6763424
431	5135314	6751987
432	5147252	6740166
433	5159846	6729201
434	5172062	6717736
435	5184343	6706352
436	5196286	6694529
437	5209246	6684010
438	5221304	6672328
439	5234201	6661710
440	5247038	6651007
441	5259053	6639257
442	5271734	6628343
443	5284379	6617376
444	5296671	6605960
445	5309397	6595081
446	5322725	6584937
447	5323155	6558888
448	5335493	6547565
449	5348220	6536714
450	5361085	6526022
451	5374445	6515920
452	5387263	6505150
453	5399630	6493829
454	5404328	6473316
455	5417020	6462409
456	5428952	6450593
457	5441864	6439935
458	5454273	6428674
459	5454344	6402925
460	5466752	6391712
461	5479124	6380452
462	5479223	6354951
463	5491453	6343575
464	5503827	6332360
465	5516273	6321223
466	5528781	6310150
467	5540311	6297960
468	5540889	6273373
469	5553320	6262254
